mx_cal,my_cal,mz_cal
602.0011951228398,782.0690231137272,26.756679805673738
611.0982417459779,763.2460909478793,-37.21918537587092
635.9732788491458,764.7000109114435,-131.49564729402675
636.4096092937722,736.5896726478596,-461.5026045192958
488.89752592881763,698.8998300024276,-593.1366470476662
310.0247581087925,686.5381244966596,-675.4338882673393
47.79906068810213,616.4416229118561,-736.039918236934
-108.39618630316203,515.3547861858314,-816.9699054108418
-214.03314513453432,471.55490589870476,-809.4249278728744
-296.0803607699141,417.79968960709795,-842.1915780715555
-357.6651232118683,465.49864081848654,-790.6182591607244
-434.7452126815764,595.4583307498526,-725.3941934444643
-393.217015009251,715.6537616277685,-577.8361839253758
-364.8553654209642,823.5314777185514,-508.89290502717853
-268.69436369229294,887.1399596387796,-436.76184594042786
-80.13577687479605,871.7704156192126,-442.48368856993983
93.74067641698713,848.026105426825,-464.0197582010209
227.4304089290006,838.2210967848221,-382.0644988836417
370.23760089069776,802.1633853426868,-364.5781380941781
479.99369351120555,722.0652638610233,-224.1827595056548
660.6918966479543,623.8733514150833,100.74866175279729
783.1336732157621,594.2273783459008,337.9234423316215
749.7094665450868,617.5474603165054,473.11840873978235
646.5448653145795,638.5502384153011,688.0263065649456
405.5443911093293,522.9218086278499,373.86713159647513
-713.1872487101406,471.65601013366074,-109.45045293703848
-867.8291037317347,558.3205095157914,-263.9164691636939
-800.7088591945418,692.8578139475336,-241.04941328843356
-680.2819594790063,774.2584297582621,-238.65880526854517
-567.6522100580232,812.0867884181771,-223.33586898772745
-514.6165680742205,789.1618359754979,-233.99073296281696
-522.2242757168519,745.0967456903181,-228.9084651676188
-611.0564653149061,627.8511074339648,23.356290436273856
-755.4928523739056,572.2511140760769,77.96325547573021
-786.9410072308094,560.9234279191295,132.6858351043328
-804.4501451727938,486.1374910866371,237.544210763014
-815.6630757280001,385.06244054356387,395.19219055730946
-800.1786317910305,381.44151665141953,691.4484067716676
-538.4600158083283,430.7274542790747,774.1261055953166
-312.40191021700986,489.553192194535,772.3858610287017
154.14194186448924,633.5260205486621,481.22010703367556
601.8243231156915,647.218111314159,353.7703416901518
654.0147711035936,589.6089517961274,379.90152173407216
715.436296897155,601.3478529939822,332.27123647883866
739.0260400931477,591.3925169895018,291.9596087421902
762.6566408402466,566.5777048665444,250.66220344739412
802.3770542265971,516.9684405822206,168.25687234680598
848.7783630964511,506.4590087432697,119.5268265066279
878.0814286411068,545.4975807090515,152.63379035690704
848.2566444197256,559.4529106529521,138.67715066046742
840.6955483817196,566.9030292259932,139.35947381345298
841.0540298286552,573.3470281376452,124.15220516492562
835.6845866352465,604.6015171267715,32.605044534921625
820.8800187561758,640.8052285195687,19.74818727314127
792.0024987944873,652.2961502097482,-33.45887144366122
770.2867836439273,664.7523839504274,-71.15519896750726
763.293969083043,670.7239056425037,-94.02311218406847
756.9977622336239,697.0130414047409,-146.81273970759779
711.800081185998,748.6507254222736,-150.0760209129098
651.5414207542186,792.8994605300302,-153.4532501504271
591.5538226639738,806.9364561960659,-166.65211438216184
576.1343144925619,793.1035069375384,-151.55881751613552
590.4783763867661,787.604511398565,-121.03023043869207
619.6065542308589,753.331517013877,-77.15192947842847
653.095744452684,712.5576325203987,99.0026191301613
693.0094195562662,667.2909178194772,321.57532479662086
674.3877487790023,592.8679423924278,785.8694635278032
-235.58306677456497,579.2586700411954,81.08470173997077
-776.2631374212745,638.946900727537,-628.0539380304947
-518.9871535707827,724.4526583898221,-675.680910759857
-188.37333524871752,741.371617845555,-635.9301695408878
-165.7511889874564,741.3104038843837,-636.4984996925097
-137.20592155179403,782.3205052345148,-571.9911560687361
-152.87608532644404,791.2696696401509,-547.5691981314883
-198.7090652491241,800.3004587982667,-522.3893680442183
-229.02056053473737,786.0155298161333,-514.7672916520054
-282.1640015095739,779.7144090209591,-498.23394234189493
-351.0446259361593,738.276919921384,-452.38566348618394
-472.03410097619076,724.7296797885722,-434.6402072262005
-533.0155267287485,689.7157802464397,-404.18871526712155
-587.7619581940165,650.7018837609595,-319.46900457999385
-673.0704948847556,620.1851308581244,-217.79846094856228
-741.3177806002161,559.8152375575582,115.84902144312147
-804.0674887670151,489.9871608201402,534.6721913738073
-628.4414367203751,451.78287698753877,754.327805149453
-402.11229303669677,480.3967590005477,742.7659433114457
-386.9638473365485,524.4414949377655,737.4942845732938
-297.1864722946505,577.6834230706561,762.2213778792257
142.9143901462243,606.2553938748478,635.9468227646908
426.15545442471995,638.7425225196905,451.3427781757648
619.307302545027,663.0590299171661,252.8190103532141
712.9347567518148,684.1541363645747,119.06578814782226
725.928493412515,684.6996401752633,-107.79030909885809
719.6730958705434,696.1293007321669,-161.56570049871544
698.1263719152166,715.5224595557038,-206.61925368833948
668.7009259182709,721.0622674060525,-236.76890529299573
639.2754331832259,726.6020722524735,-266.91860560269134
608.4830758686578,750.4515714117879,-241.13194518267127
597.3895242604792,811.3519874838545,-96.19078513136996
557.5816911248501,824.3054212911095,-8.399789211670486
548.3156052342025,836.1914757407984,62.933305973756966
524.5364186543361,846.6396936834426,111.09502226453714
484.76937012292785,844.7337011540267,197.90028299853304
464.0454505569307,844.7015312370598,432.79591591909997
251.93792972115955,855.166983292743,477.8436255425893
71.19112444509032,840.3043850653122,473.55441931485086
-144.64783434971898,833.5028949805202,361.2970158200091
-352.14753891450954,809.849952025221,216.46407844007038
-471.0530907257818,790.8810623803306,147.85863739804478
-536.456743354602,784.6572437033329,47.51255091120473
-575.0704737145569,767.5288146280049,-226.10371470140458
-580.0406255513584,790.3678257566211,-333.84393281100756
-527.3372599351259,819.9438491821477,-333.1985144105591
